timestamp, latitude, longitude ,mag_x,mag_y,mag_z
1545380004,-8.8978,-54.295,0.20261664708984325,-0.06041727922917254,-0.020469580494046655
1545380014,-8.393,-53.9253,0.2034007181869147,-0.06143753533813982,-0.018599306947094198
1545380024,-7.8878,-53.5567,0.20419985094651594,-0.062427286961879554,-0.016716370538638753
1545380034,-7.3821,-53.1891,0.20501407257647483,-0.06338616091652581,-0.014819180929506787
1545380044,-6.876,-52.8224,0.20584295405447428,-0.0643135883028936,-0.012907426282427366
1545380054,-6.3696,-52.4566,0.20668615482096947,-0.06520884134337904,-0.010980432722374414
1545380064,-5.8628,-52.0915,0.2075436162254249,-0.06607160228989002,-0.009036966265772616
1545380074,-5.3558,-51.7272,0.2084148394864684,-0.06690090432628881,-0.007076606403589089
1545380084,-4.8485,-51.3636,0.2092998314184245,-0.06769625980940056,-0.005097687781558712
1545380094,-4.3409,-51.0006,0.21019836188301913,-0.06845708634073402,-0.0030991794934768853
1545380104,-3.8331,-50.6381,0.21110996309388277,-0.06918272639955848,-0.0010807134896012158
1545380113,-3.3505,-50.2941,0.2119878738737703,-0.06983894116833303,0.000856333967874024
1545380123,-2.8423,-49.9325,0.21292436231813347,-0.07049399600715858,0.0029177803989752778
1545380134,-2.3339,-49.5712,0.21387315030927634,-0.07111197716869694,0.0050028574652530395
1545380144,-1.8254,-49.2101,0.21483368330164224,-0.07169223417500553,0.007112033661853535
1545380154,-1.3169,-48.8494,0.21580550428160256,-0.0722338619967962,0.009247067951718082
1545380164,-0.8082,-48.4887,0.2167885086741514,-0.0727366610172818,0.011409382635489995
1545380174,-0.2995,-48.1281,0.21778188128560053,-0.07319982786884592,0.013599662649870089
1545380184,0.2092,-47.7676,0.21878514032712842,-0.07362278078663684,0.01581964905372933
1545380194,0.7179,-47.4071,0.21979771247215915,-0.07400505494072715,0.018070684967408823
1545380204,1.2267,-47.0464,0.22081916699020138,-0.07434629800591466,0.02035446433519286
1545380214,1.7353,-46.6856,0.22184821598760762,-0.07464592532388206,0.022670965640979576
1545380224,2.2439,-46.3245,0.22288451883792146,-0.07490369237672093,0.0250226721120195
1545380234,2.7524,-45.9632,0.2239270525591883,-0.07511918720762577,0.02741110082360642
1545380244,3.2608,-45.6015,0.22497491589749888,-0.07529223600361154,0.029837217893318436
1545380254,3.769,-45.2394,0.2260269351222049,-0.07542262824774525,0.03230206421083514
1545380264,4.2769,-44.8768,0.2270818739082196,-0.07551028187774625,0.034806197250726506
1545380274,4.7847,-44.5137,0.22813898702848132,-0.07555512914114272,0.03735301829026231
1545380284,5.2924,-44.1499,0.22919708941168562,-0.0755572269026718,0.03994343556813673
1545380294,5.7997,-43.7855,0.23025428893128344,-0.0755167005592823,0.04257712423995101
1545380304,6.3067,-43.4204,0.23130942433177604,-0.07543375154841428,0.045256111574313064
1545380314,6.8135,-43.0544,0.23236129404774172,-0.07530863469766479,0.04798197502380001
1545380324,7.3199,-42.6876,0.2334079702733206,-0.07514174922879802,0.05075496926837122
1545380334,7.826,-42.3198,0.23444811933148985,-0.07493349857068671,0.053576527511368634
1545380344,8.3316,-41.951,0.23547974902778285,-0.07468447334406522,0.05644625371200997
1545380354,8.8369,-41.5812,0.2365014476235608,-0.07439520065173716,0.059367128792252616
1545380364,9.3416,-41.2102,0.23751109468886708,-0.07406646266699816,0.06233679356428794
1545380374,9.846,-40.838,0.23850731035323747,-0.07369886917948489,0.0653589353926437
1545380384,10.3498,-40.4645,0.23948785722793964,-0.07329337525878572,0.06843134412902944
1545380394,10.8532,-40.0897,0.24045109747016113,-0.0728507753428068,0.07155659036984854
1545380404,11.356,-39.7134,0.24139499176796148,-0.07237207298110786,0.07473268179617146
1545380414,11.833,-39.3546,0.24227181833605915,-0.07188491068615972,0.07779681124818776
1545380424,12.3346,-38.9754,0.24317233084446227,-0.07133887176519628,0.08107309245533
1545380434,12.8356,-38.5946,0.24404780849679716,-0.0707598947021456,0.08440082397538844
1545380444,13.336,-38.212,0.24489647541162216,-0.070149041422691,0.08777933086867143
1545380454,13.8356,-37.8277,0.24571610583745238,-0.06950775316661573,0.09120697020369892
1545380464,14.3344,-37.4416,0.24650489830226802,-0.06883724359748798,0.09468310719028479
1545380474,14.8325,-37.0536,0.24726114503302396,-0.06813866454444863,0.09820795939865569
1545380484,15.3298,-36.6635,0.24798314270723576,-0.06741325800737787,0.10177934528975033
1545380494,15.8264,-36.2713,0.2486691371477631,-0.06666227254809154,0.1053975976704532
1545380504,16.322,-35.877,0.24931723748246598,-0.06588731678604826,0.10905893999481428
1545380514,16.8167,-35.4806,0.24992581804737593,-0.06508968119318395,0.11276339187709891
1545380524,17.3106,-35.0817,0.2504937449209185,-0.06427026596530108,0.11650965755561765
1545380534,17.8034,-34.6805,0.25101918959358255,-0.06343088352388357,0.12029416426489792
1545380544,18.2953,-34.2769,0.2515008377220366,-0.0625726174847324,0.12411732128493304
1545380554,18.7861,-33.8707,0.2519375543799843,-0.06169678077778019,0.12797513474682062
1545380564,19.2759,-33.4618,0.252328169059081,-0.060804493628512,0.1318668718901997
1545380574,19.7646,-33.0502,0.25267150359816803,-0.05989714539331439,0.1357899525587447
1545380584,20.2522,-32.6358,0.2529665795527559,-0.058975900846704135,0.13974246891686742
1545380594,20.7385,-32.2186,0.2532125015901518,-0.05804219368082958,0.14372064267622872
1545380604,21.2237,-31.7984,0.25340851238235135,-0.05709682583343298,0.14772426562060575
1545380614,21.7076,-31.3751,0.2535540570103793,-0.056141040108086,0.15174923331956416
1545380624,22.1901,-30.9486,0.25364866366215694,-0.05517594854407781,0.1557924398694247
1545380634,22.6714,-30.519,0.25369144486673667,-0.0542026110731617,0.1598542867295962
1545380644,23.1513,-30.086,0.2536824454578891,-0.05322190218572332,0.16393015686370788
1545380654,23.6297,-29.6495,0.25362151618486906,-0.05223481052920306,0.1680169183137791
1545380664,24.1067,-29.2095,0.25350824630618807,-0.05124224279098679,0.17211370374413124
1545380674,24.5823,-28.7659,0.2533425267681184,-0.05024502711964674,0.1762184139208033
1545380684,25.0563,-28.3185,0.2531247530368279,-0.04924398290940617,0.18032673459513593
1545380694,25.5285,-27.8675,0.2528550341255771,-0.04824042424110594,0.18443507761697897
1545380704,25.9992,-27.4125,0.2525334103056532,-0.04723440128420892,0.18854401297479903
1545380714,26.4681,-26.9535,0.2521605520020148,-0.04622696003167818,0.19264866130753966
1545380724,26.9352,-26.4905,0.2517367272602508,-0.04521886825043808,0.19674725375683338
1545380734,27.3773,-26.0467,0.2512873945290871,-0.0442608891861579,0.20063360817769452
1545380744,27.8408,-25.5754,0.2507659003603807,-0.04325298256257727,0.20471384450781938
1545380754,28.3025,-25.0996,0.25019509856959266,-0.04224580318178005,0.2087824033717633
1545380764,28.7622,-24.6193,0.24957595349094253,-0.041240141168931814,0.21283570687812542
1545380774,29.2199,-24.1344,0.2489091562812662,-0.04023647211732788,0.21687213450595547
1545380784,29.6755,-23.6447,0.24819578873017653,-0.039235169169504404,0.22088902864763488
1545380794,30.129,-23.1502,0.24743655556879468,-0.03823680206224084,0.22488502083378029
1545380804,30.5802,-22.6507,0.2466329313719902,-0.03724175296409023,0.22885663376456328
1545380814,31.0292,-22.1463,0.2457853789728607,-0.0362506307697908,0.2328037063676402
1545380824,31.4759,-21.6365,0.24489544103091743,-0.03526328035436847,0.2367236530075571
1545380834,31.9202,-21.1215,0.24396414350587656,-0.0342805358940737,0.2406145844895895
1545380844,32.3621,-20.6011,0.24299258457323414,-0.033302581061908317,0.24447531285361437
1545380854,32.8014,-20.0752,0.24198244225118273,-0.032329827847060205,0.24830290220130624
1545380864,33.2382,-19.5437,0.24093449273049847,-0.03136252302669409,0.25209735241843434
1545380874,33.6723,-19.0064,0.2398505695782072,-0.03040089770487158,0.2558558455096388
1545380884,34.1036,-18.4632,0.23873216470211034,-0.029445258634757287,0.25957667509963855
1545380894,34.5322,-17.9141,0.2375800509442501,-0.028495960929834408,0.26326009471333056
1545380904,34.9579,-17.3587,0.23639629210040902,-0.027552897595089706,0.2669034896772094
1545380914,35.3807,-16.7972,0.2351819321952149,-0.026616721081553104,0.27050641968760253
1545380924,35.8004,-16.2293,0.23393905067785836,-0.025687426573158045,0.2740665196929182
1545380934,36.217,-15.655,0.23266886332448966,-0.02476534852553139,0.2775834152349475
1545380944,36.6304,-15.0741,0.23137307267292348,-0.023850557386389082,0.28105585399142435
1545380954,37.0406,-14.4864,0.23005300743639098,-0.022943084604754867,0.2844835450065761
1545380964,37.4473,-13.8919,0.22871108498411286,-0.0220432890678734,0.2878637404601671
