timestamp, latitude, longitude 
1545368507,-27.6165,-22.9570
1545368517,-27.1531,-22.4890
1545368527,-26.6878,-22.0250
1545368537,-26.2207,-21.5652
1545368547,-25.7520,-21.1095
1545368557,-25.2814,-20.6576
1545368568,-24.8093,-20.2096
1545368578,-24.3356,-19.7653
1545368588,-23.8603,-19.3246
1545368598,-23.3836,-18.8875
1545368607,-22.9293,-18.4754
1545368617,-22.4497,-18.0449
1545368627,-21.9688,-17.6176
1545368637,-21.4865,-17.1935
1545368647,-21.0029,-16.7724
1545368657,-20.5180,-16.3544
1545368667,-20.0320,-15.9392
1545368677,-19.5448,-15.5269
1545368687,-19.0564,-15.1173
1545368697,-18.5670,-14.7104
1545368707,-18.0764,-14.3060
1545368717,-17.5849,-13.9042
1545368727,-17.0923,-13.5047
1545368737,-16.5988,-13.1075
1545368747,-16.1043,-12.7126
1545368757,-15.6090,-12.3199
1545368767,-15.1128,-11.9292
1545368778,-14.6157,-11.5406
1545368788,-14.1178,-11.1538
1545368798,-13.6193,-10.7690
1545368808,-13.1199,-10.3860
1545368818,-12.6199,-10.0047
1545368828,-12.1192,-9.6250
1545368838,-11.6178,-9.2469
1545368848,-11.1158,-8.8702
1545368858,-10.6132,-8.4950
1545368867,-10.1352,-8.1399
1545368877,-9.6316,-7.7673
1545368887,-9.1274,-7.3960
1545368897,-8.6228,-7.0258
1545368907,-8.1177,-6.6567
1545368917,-7.6122,-6.2886
1545368927,-7.1063,-5.9215
1545368937,-6.6001,-5.5553
1545368947,-6.0935,-5.1899
1545368957,-5.5865,-4.8252
1545368967,-5.0793,-4.4613
1545368977,-4.5718,-4.0979
1545368987,-4.0641,-3.7352
1545368998,-3.5562,-3.3730
1545369008,-3.0480,-3.0112
1545369018,-2.5398,-2.6497
1545369028,-2.0314,-2.2886
1545369038,-1.5228,-1.9277
1545369048,-1.0142,-1.5671
1545369058,-0.5055,-1.2065
1545369068,0.0032,-0.8460
1545369078,0.5119,-0.4854
1545369088,1.0206,-0.1248
1545369098,1.5293,0.2359
1545369108,2.0378,0.5968
1545369118,2.5463,0.9580
1545369128,3.0547,1.3195
1545369137,3.5376,1.6634
1545369147,4.0457,2.0257
1545369157,4.5536,2.3886
1545369167,5.0614,2.7521
1545369177,5.5688,3.1162
1545369187,6.0760,3.4810
1545369197,6.5829,3.8466
1545369208,7.0894,4.2130
1545369218,7.5957,4.5804
1545369228,8.1016,4.9487
1545369238,8.6070,5.3180
1545369248,9.1120,5.6885
1545369258,9.6165,6.0601
1545369268,10.1206,6.4330
1545369278,10.6241,6.8071
1545369288,11.1271,7.1827
1545369298,11.6295,7.5597
1545369308,12.1314,7.9383
1545369318,12.6326,8.3184
1545369328,13.1331,8.7003
1545369338,13.6330,9.0838
1545369348,14.1322,9.4692
1545369358,14.6306,9.8565
1545369368,15.1283,10.2458
1545369378,15.6251,10.6370
1545369388,16.1210,11.0304
1545369397,16.5914,11.4062
1545369407,17.0857,11.8040
1545369418,17.5790,12.2041
1545369428,18.0714,12.6066
1545369438,18.5627,13.0117
1545369448,19.0530,13.4193
